config_id,scope,window_start_date,n_periods,cagr,annualised_volatility,sharpe,sortino,max_drawdown,max_drawdown_magnitude,periods_per_year,rf_annual,diagnostic_only,sample_flag,statuses
ALL__e_p__VALUE_ONLY,ALL_DATES,2019-03-31,27,0.13488828813625275,0.387829234471037,0.5258710286554138,0.8766273311461531,-0.5773172250917156,0.5773172250917156,4.0,0.0,True,,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
ALL__e_p__VALUE_ONLY,IN_WINDOW,2019-03-31,27,0.13488828813625275,0.387829234471037,0.5258710286554138,0.8766273311461531,-0.5773172250917156,0.5773172250917156,4.0,0.0,True,,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
ALL__e_p__VALUE_PLUS_GATES,ALL_DATES,2024-03-31,7,0.041751981885264966,0.11057757929248133,0.41785312194403623,0.9146762617105171,-0.0648912239505125,0.0648912239505125,4.0,0.0,True,SAMPLE_TOO_SMALL_FOR_INFERENCE,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
ALL__e_p__VALUE_PLUS_GATES,IN_WINDOW,2024-03-31,7,0.041751981885264966,0.11057757929248133,0.41785312194403623,0.9146762617105171,-0.0648912239505125,0.0648912239505125,4.0,0.0,True,SAMPLE_TOO_SMALL_FOR_INFERENCE,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
ALL__ebit_tev__VALUE_ONLY,ALL_DATES,2019-03-31,27,0.1486610956275054,0.3620344002728205,0.5681880989687917,0.9821842905707904,-0.5615003193694792,0.5615003193694792,4.0,0.0,True,,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
ALL__ebit_tev__VALUE_ONLY,IN_WINDOW,2019-03-31,27,0.1486610956275054,0.3620344002728205,0.5681880989687917,0.9821842905707904,-0.5615003193694792,0.5615003193694792,4.0,0.0,True,,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
ALL__ebit_tev__VALUE_PLUS_GATES,ALL_DATES,2024-03-31,7,0.03212449244834392,0.08629251426076721,0.4038699865180835,0.8857191710093374,-0.04852710152038142,0.04852710152038142,4.0,0.0,True,SAMPLE_TOO_SMALL_FOR_INFERENCE,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
ALL__ebit_tev__VALUE_PLUS_GATES,IN_WINDOW,2024-03-31,7,0.03212449244834392,0.08629251426076721,0.4038699865180835,0.8857191710093374,-0.04852710152038142,0.04852710152038142,4.0,0.0,True,SAMPLE_TOO_SMALL_FOR_INFERENCE,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
PRICE_OK__e_p__VALUE_ONLY,ALL_DATES,2021-06-30,27,0.15239968464371678,0.3487608315252858,0.5828941844644745,1.0351514960695427,-0.5144306639473724,0.5144306639473724,4.0,0.0,True,,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
PRICE_OK__e_p__VALUE_ONLY,IN_WINDOW,2021-06-30,18,0.07595230496113148,0.29741194644762625,0.3929650268691476,0.6318830756084869,-0.5144306639473724,0.5144306639473724,4.0,0.0,True,,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
PRICE_OK__e_p__VALUE_PLUS_GATES,ALL_DATES,2025-03-31,7,0.0814013667372242,0.10016466549483767,0.8295728714117383,3.2999065996110186,-0.02461142274817696,0.02461142274817696,4.0,0.0,True,SAMPLE_TOO_SMALL_FOR_INFERENCE,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
PRICE_OK__e_p__VALUE_PLUS_GATES,IN_WINDOW,2025-03-31,3,0.004619173864182757,0.08700768375595361,0.08168993571396722,0.18628943424353608,-0.02461142274817696,0.02461142274817696,4.0,0.0,True,SAMPLE_TOO_SMALL_FOR_INFERENCE,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
PRICE_OK__ebit_tev__VALUE_ONLY,ALL_DATES,2021-06-30,27,0.125895917906665,0.2964604847947153,0.551131556158276,0.9434186136759833,-0.47482508320173955,0.47482508320173955,4.0,0.0,True,,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
PRICE_OK__ebit_tev__VALUE_ONLY,IN_WINDOW,2021-06-30,18,0.0832431672734959,0.2627920689561494,0.4352041247571751,0.6902659528757997,-0.47482508320173955,0.47482508320173955,4.0,0.0,True,,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
PRICE_OK__ebit_tev__VALUE_PLUS_GATES,ALL_DATES,2025-03-31,7,0.06722458480868565,0.07475914784378601,0.9080441995817837,3.446479128653146,-0.02177662864140062,0.02177662864140062,4.0,0.0,True,SAMPLE_TOO_SMALL_FOR_INFERENCE,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
PRICE_OK__ebit_tev__VALUE_PLUS_GATES,IN_WINDOW,2025-03-31,3,0.013458478252896366,0.06442236726859861,0.2298702729817965,0.5604821127014458,-0.02177662864140062,0.02177662864140062,4.0,0.0,True,SAMPLE_TOO_SMALL_FOR_INFERENCE,"{""annualised_volatility"": ""OK"", ""cagr"": ""OK"", ""max_drawdown"": ""OK"", ""max_drawdown_magnitude"": ""OK"", ""periodic_returns"": ""OK"", ""sharpe"": ""OK"", ""sortino"": ""OK""}"
