ticker,fetch_status,fetch_error_class,pages_fetched,provider_rows,BONUS_OR_STOCK_DIV_COMPLETE,CASH_DIV_COMPLETE,RIGHTS_NO_SUBSCRIPTION_PRICE,MISSING_EXRIGHT_DATE,ZERO_OR_NULL_RATIO,OTHER_UNCLASSIFIED,factor_reconstructable
AAA,OK,,1,27,2,5,1,0,6,1,HAS_BLOCKING_HOLE
ABT,OK,,1,19,0,13,0,0,1,0,CLEAN
ACB,OK,,1,16,9,3,0,0,1,0,CLEAN
ADS,OK,,1,19,3,6,1,0,3,0,HAS_BLOCKING_HOLE
AFX,OK,,1,4,0,2,0,0,0,0,CLEAN
AGG,OK,,1,18,6,0,2,0,6,1,HAS_BLOCKING_HOLE
AGR,OK,,1,5,2,2,0,0,0,0,CLEAN
ANV,OK,,1,17,1,12,0,0,2,0,CLEAN
APG,OK,,1,18,1,1,4,6,4,0,HAS_BLOCKING_HOLE
APH,OK,,1,14,1,0,1,0,10,0,HAS_BLOCKING_HOLE
ASM,OK,,1,9,4,3,0,1,0,0,HAS_BLOCKING_HOLE
ASP,OK,,1,6,0,5,0,0,0,0,CLEAN
BAF,OK,,1,13,3,0,1,0,3,1,HAS_BLOCKING_HOLE
BCG,OK,,1,21,3,3,3,0,6,0,HAS_BLOCKING_HOLE
BCM,OK,,1,16,0,7,1,4,2,0,HAS_BLOCKING_HOLE
BFC,OK,,1,20,0,14,0,0,0,0,CLEAN
BIC,OK,,1,11,1,8,0,0,0,0,CLEAN
BID,OK,,1,24,3,5,0,2,4,1,HAS_BLOCKING_HOLE
BKG,OK,,1,7,3,0,2,0,1,0,HAS_BLOCKING_HOLE
BMI,OK,,1,16,4,7,0,0,0,0,CLEAN
BMP,OK,,1,24,0,18,0,0,0,0,CLEAN
BSI,OK,,1,21,6,5,0,1,2,0,HAS_BLOCKING_HOLE
BSR,OK,,1,6,2,3,0,0,0,0,CLEAN
BVH,OK,,1,12,0,8,0,0,2,0,CLEAN
BWE,OK,,1,14,1,8,0,0,2,0,CLEAN
C32,OK,,1,19,2,10,0,0,0,0,CLEAN
CDC,OK,,1,14,2,6,2,1,0,0,HAS_BLOCKING_HOLE
CIG,OK,,1,5,0,0,0,0,3,1,HAS_BLOCKING_HOLE
CII,OK,,1,35,1,7,0,2,14,0,HAS_BLOCKING_HOLE
CLW,OK,,1,14,0,11,0,0,0,0,CLEAN
CMG,OK,,1,23,8,5,0,0,6,1,HAS_BLOCKING_HOLE
CRC,OK,,1,10,1,3,2,2,1,0,HAS_BLOCKING_HOLE
CRE,OK,,1,18,5,1,4,2,3,0,HAS_BLOCKING_HOLE
CSM,OK,,1,12,0,7,0,1,0,0,HAS_BLOCKING_HOLE
CSV,OK,,1,23,1,17,0,0,0,0,CLEAN
CTD,OK,,1,18,2,6,0,0,4,0,CLEAN
CTF,OK,,1,17,6,2,3,2,1,0,HAS_BLOCKING_HOLE
CTG,OK,,1,10,3,3,0,1,0,0,HAS_BLOCKING_HOLE
CTI,OK,,1,13,0,4,0,0,1,0,CLEAN
CTR,OK,,1,23,5,9,0,1,1,0,HAS_BLOCKING_HOLE
CTS,OK,,1,9,5,1,0,0,0,0,CLEAN
D2D,OK,,1,18,2,12,0,0,0,0,CLEAN
DBC,OK,,1,20,7,4,1,1,1,0,HAS_BLOCKING_HOLE
DBD,OK,,1,17,3,6,0,1,1,1,HAS_BLOCKING_HOLE
DC4,OK,,1,24,6,3,1,1,6,1,HAS_BLOCKING_HOLE
DCL,OK,,1,11,0,1,0,0,6,0,CLEAN
DCM,OK,,1,12,0,8,0,0,0,0,CLEAN
DGC,OK,,1,25,4,13,0,0,2,1,HAS_BLOCKING_HOLE
DGW,OK,,1,27,3,8,0,0,7,2,HAS_BLOCKING_HOLE
DHA,OK,,1,23,0,15,0,1,0,0,HAS_BLOCKING_HOLE
DHC,OK,,1,37,5,16,4,0,4,0,HAS_BLOCKING_HOLE
