ticker,first_date,last_date,n_trading_days,n_usable_years,first_usable_year,has_internal_gap,largest_gap_days,fetch_status
AAA,,,0,0,,False,0,PARTIAL_RUN
ABT,,,0,0,,False,0,PARTIAL_RUN
ACB,,,0,0,,False,0,PARTIAL_RUN
ADS,,,0,0,,False,0,PARTIAL_RUN
AFX,,,0,0,,False,0,PARTIAL_RUN
AGG,,,0,0,,False,0,PARTIAL_RUN
AGR,,,0,0,,False,0,PARTIAL_RUN
ANV,,,0,0,,False,0,PARTIAL_RUN
APG,,,0,0,,False,0,PARTIAL_RUN
APH,,,0,0,,False,0,PARTIAL_RUN
ASM,,,0,0,,False,0,PARTIAL_RUN
ASP,,,0,0,,False,0,PARTIAL_RUN
BAF,,,0,0,,False,0,PARTIAL_RUN
BCG,,,0,0,,False,0,PARTIAL_RUN
BCM,,,0,0,,False,0,PARTIAL_RUN
BFC,,,0,0,,False,0,PARTIAL_RUN
BIC,,,0,0,,False,0,PARTIAL_RUN
BID,,,0,0,,False,0,PARTIAL_RUN
BKG,,,0,0,,False,0,PARTIAL_RUN
BMI,,,0,0,,False,0,PARTIAL_RUN
BMP,2006-07-11,2026-07-22,4995,19,2007,False,11,OK
BSI,,,0,0,,False,0,PARTIAL_RUN
BSR,,,0,0,,False,0,PARTIAL_RUN
BVH,,,0,0,,False,0,PARTIAL_RUN
BWE,,,0,0,,False,0,PARTIAL_RUN
C32,,,0,0,,False,0,PARTIAL_RUN
CDC,,,0,0,,False,0,PARTIAL_RUN
CIG,,,0,0,,False,0,PARTIAL_RUN
CII,,,0,0,,False,0,PARTIAL_RUN
CLW,,,0,0,,False,0,PARTIAL_RUN
CMG,,,0,0,,False,0,PARTIAL_RUN
CRC,,,0,0,,False,0,PARTIAL_RUN
CRE,,,0,0,,False,0,PARTIAL_RUN
CSM,,,0,0,,False,0,PARTIAL_RUN
CSV,,,0,0,,False,0,PARTIAL_RUN
CTD,,,0,0,,False,0,PARTIAL_RUN
CTF,,,0,0,,False,0,PARTIAL_RUN
CTG,,,0,0,,False,0,PARTIAL_RUN
CTI,,,0,0,,False,0,PARTIAL_RUN
CTR,,,0,0,,False,0,PARTIAL_RUN
