ticker,filter_stage,reason_label,trigger_metric,trigger_value,threshold_or_cutoff,exchange,icb2,source,as_of,data_status
ACB,1,FINANCIAL_SECTOR_EXCLUDED,icb2,NGÂN HÀNG,financial ICB2 exclusion,HOSE,NGÂN HÀNG,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
AFX,4,M_SCORE_FLAG,M_SCORE,-1.1854153623122157,>-1.78,HOSE,BÁN LẺ,vnstock_VCI_financial,2026-07-17,OK
AGR,1,FINANCIAL_SECTOR_EXCLUDED,icb2,DỊCH VỤ TÀI CHÍNH,financial ICB2 exclusion,HOSE,DỊCH VỤ TÀI CHÍNH,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
APG,1,FINANCIAL_SECTOR_EXCLUDED,icb2,DỊCH VỤ TÀI CHÍNH,financial ICB2 exclusion,HOSE,DỊCH VỤ TÀI CHÍNH,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
APH,5,PFD_HIGH_RISK,DISTRESS,accumulated_loss,high_risk is True,HOSE,HÀNG & DỊCH VỤ CÔNG NGHIỆP,vnstock_VCI_financial,2026-07-17,OK
ASP,5,PFD_HIGH_RISK,DISTRESS,accumulated_loss,high_risk is True,HOSE,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",vnstock_VCI_financial,2026-07-17,OK
BAF,4,M_SCORE_FLAG,M_SCORE,-1.3341457862593922,>-1.78,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,vnstock_VCI_financial,2026-07-17,OK
BCG,1,FINANCIAL_SECTOR_EXCLUDED,icb2,DỊCH VỤ TÀI CHÍNH,financial ICB2 exclusion,HOSE,DỊCH VỤ TÀI CHÍNH,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2025-10-08,OK
BFC,3,HIGH_ACCRUAL,STA,STA=0.29412668151452775,STA>=0.23389126844758945,HOSE,HÓA CHẤT,vnstock_VCI_financial,2026-07-17,OK
BIC,1,FINANCIAL_SECTOR_EXCLUDED,icb2,BẢO HIỂM,financial ICB2 exclusion,HOSE,BẢO HIỂM,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
BID,1,FINANCIAL_SECTOR_EXCLUDED,icb2,NGÂN HÀNG,financial ICB2 exclusion,HOSE,NGÂN HÀNG,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
BMI,1,FINANCIAL_SECTOR_EXCLUDED,icb2,BẢO HIỂM,financial ICB2 exclusion,HOSE,BẢO HIỂM,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
BSI,1,FINANCIAL_SECTOR_EXCLUDED,icb2,DỊCH VỤ TÀI CHÍNH,financial ICB2 exclusion,HOSE,DỊCH VỤ TÀI CHÍNH,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
BSR,3,HIGH_ACCRUAL,STA,STA=0.23801006900245222,STA>=0.23389126844758945,HOSE,DẦU KHÍ,vnstock_VCI_financial,2026-07-17,OK
BVH,1,FINANCIAL_SECTOR_EXCLUDED,icb2,BẢO HIỂM,financial ICB2 exclusion,HOSE,BẢO HIỂM,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
CDC,3,HIGH_ACCRUAL,STA,STA=0.363398145446318,STA>=0.23389126844758945,HOSE,XÂY DỰNG VÀ VẬT LIỆU,vnstock_VCI_financial,2026-07-17,OK
CIG,3,HIGH_ACCRUAL,STA,STA=0.47049808773905766,STA>=0.23389126844758945,HOSE,XÂY DỰNG VÀ VẬT LIỆU,vnstock_VCI_financial,2026-07-17,OK
CRC,3,HIGH_ACCRUAL,SNOA,SNOA=1.0585212079408506,SNOA>=0.9859440018428138,HOSE,XÂY DỰNG VÀ VẬT LIỆU,vnstock_VCI_financial,2026-07-17,OK
CRE,3,HIGH_ACCRUAL,STA,STA=0.2984808455359243,STA>=0.23389126844758945,HOSE,BẤT ĐỘNG SẢN,vnstock_VCI_financial,2026-07-17,OK
CTG,1,FINANCIAL_SECTOR_EXCLUDED,icb2,NGÂN HÀNG,financial ICB2 exclusion,HOSE,NGÂN HÀNG,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
CTS,1,FINANCIAL_SECTOR_EXCLUDED,icb2,DỊCH VỤ TÀI CHÍNH,financial ICB2 exclusion,HOSE,DỊCH VỤ TÀI CHÍNH,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
DCM,4,M_SCORE_FLAG,M_SCORE,-0.8663029213480813,>-1.78,HOSE,HÓA CHẤT,vnstock_VCI_financial,2026-07-17,OK
DIG,4,M_SCORE_FLAG,M_SCORE,-1.1302310241669908,>-1.78,HOSE,BẤT ĐỘNG SẢN,vnstock_VCI_financial,2026-07-17,OK
DLG,4,M_SCORE_FLAG,M_SCORE,-1.5907195394448823,>-1.78,HOSE,XÂY DỰNG VÀ VẬT LIỆU,vnstock_VCI_financial,2026-07-17,OK
DPG,4,M_SCORE_FLAG,M_SCORE,-1.324363322303869,>-1.78,HOSE,XÂY DỰNG VÀ VẬT LIỆU,vnstock_VCI_financial,2026-07-17,OK
DPM,4,M_SCORE_FLAG,M_SCORE,-0.971560651534651,>-1.78,HOSE,HÓA CHẤT,vnstock_VCI_financial,2026-07-17,OK
DSE,1,FINANCIAL_SECTOR_EXCLUDED,icb2,DỊCH VỤ TÀI CHÍNH,financial ICB2 exclusion,HOSE,DỊCH VỤ TÀI CHÍNH,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
EIB,1,FINANCIAL_SECTOR_EXCLUDED,icb2,NGÂN HÀNG,financial ICB2 exclusion,HOSE,NGÂN HÀNG,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
ELC,3,HIGH_ACCRUAL,STA,STA=0.247413608782222,STA>=0.23389126844758945,HOSE,CÔNG NGHỆ THÔNG TIN,vnstock_VCI_financial,2026-07-17,OK
EVF,1,FINANCIAL_SECTOR_EXCLUDED,icb2,DỊCH VỤ TÀI CHÍNH,financial ICB2 exclusion,HOSE,DỊCH VỤ TÀI CHÍNH,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
FTS,1,FINANCIAL_SECTOR_EXCLUDED,icb2,DỊCH VỤ TÀI CHÍNH,financial ICB2 exclusion,HOSE,DỊCH VỤ TÀI CHÍNH,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,2026-07-03,OK
