ticker,exchange,icb2,evaluation_date,market_cap_vnd,market_cap_status,price_as_of,shares_as_of,ttm_window_status,ttm_missing_periods,ttm_duplicate_entries,future_income_rows_excluded,pbt_status,interest_expenses_status,financial_expenses_status,earnings_status,ttm_pbt_vnd,ttm_interest_expense_magnitude_vnd,ebit_proxy_vas_vnd,ttm_attributable_to_parent_company_vnd,balance_period_used,short_term_borrowings_vnd,short_term_borrowings_status,long_term_borrowings_vnd,long_term_borrowings_status,cash_and_cash_equivalents_vnd,cash_and_cash_equivalents_status,minority_interests_vnd,minority_interests_status,minority_interest_treatment,tev_vnd,tev_status,ebit_tev,ep,ebit_tev_exclusion_reason,ep_exclusion_reason,ebit_tev_eligible,ep_eligible,interest_financial_expense_anomaly_count,interest_financial_expense_anomaly_quarters,income_source_path,balance_source_path,market_cap_source_path,source,as_of,data_status,ttm_q1_period,pbt_q1_vnd,interest_expenses_raw_q1_vnd,interest_expense_magnitude_q1_vnd,financial_expenses_raw_q1_vnd,earnings_parent_q1_vnd,ttm_q2_period,pbt_q2_vnd,interest_expenses_raw_q2_vnd,interest_expense_magnitude_q2_vnd,financial_expenses_raw_q2_vnd,earnings_parent_q2_vnd,ttm_q3_period,pbt_q3_vnd,interest_expenses_raw_q3_vnd,interest_expense_magnitude_q3_vnd,financial_expenses_raw_q3_vnd,earnings_parent_q3_vnd,ttm_q4_period,pbt_q4_vnd,interest_expenses_raw_q4_vnd,interest_expense_magnitude_q4_vnd,financial_expenses_raw_q4_vnd,earnings_parent_q4_vnd,ebit_tev_rank,ep_rank,ebit_tev_in_cheap_set,ep_in_cheap_set
BNA,HNX,THỰC PHẨM VÀ ĐỒ UỐNG,2026-07-20,109372879000,OK,2026-07-17,2024-12-31,OK,,,0,OK,OK,OK,OK,73286861260,67020043625,140306904885,55253239646,2026Q1,604572769200,OK,127629117586,OK,33872999314,OK,8590211734,OK,INCLUDED_EXPLICIT_VALUE,816291978206,OK,0.17188323373379036,0.5051822732580716,,,True,True,2,2026Q1|2025Q2,data/fundamentals/run_state/2026-07-17/normalized/BNA/income_statement.parquet,data/fundamentals/run_state/2026-07-17/normalized/BNA/balance_sheet.parquet,data/market_cap/2026-07-19/universe_market_cap.csv,Sprint 4 survivors + Sprint 3 normalized quarterly cache + calibrated KBS market cap,2026-07-17,OK,2026Q1,3350597329,-15348760897,15348760897,-11227446212,3713303493,2025Q4,13206278540,-16878980453,16878980453,-18087141095,11559094773,2025Q3,65317778336,-16858417823,16858417823,-16858484309,56816073068,2025Q2,-8587792945,-17933884452,17933884452,-17837178822,-16835231688,24,1,True,True
HII,HOSE,HÓA CHẤT,2026-07-20,432401903920,OK,2026-07-17,2025-12-31,OK,,,0,OK,OK,OK,OK,162726378575,27805025311,190531403886,130707408218,2026Q1,573014952784,OK,24045945924,OK,268277045195,OK,3986475275,OK,INCLUDED_EXPLICIT_VALUE,765172232708,OK,0.2490045975815086,0.3022822217780581,,,True,True,0,,data/fundamentals/run_state/2026-07-17/normalized/HII/income_statement.parquet,data/fundamentals/run_state/2026-07-17/normalized/HII/balance_sheet.parquet,data/market_cap/2026-07-19/universe_market_cap.csv,Sprint 4 survivors + Sprint 3 normalized quarterly cache + calibrated KBS market cap,2026-07-17,OK,2026Q1,87406766355,-6795920886,6795920886,-8028087180,75797557218,2025Q4,-27663998574,-6373765612,6373765612,-53024016219,-41080458644,2025Q3,42171404597,-6072708898,6072708898,-6606550009,36918801557,2025Q2,60812206197,-8562629915,8562629915,22954897127,59071508087,9,2,True,True
D2D,HOSE,BẤT ĐỘNG SẢN,2026-07-20,885097453500,OK,2026-07-17,2025-12-31,OK,,,0,OK,OK,OK,OK,297269356026,0,297269356026,236882324855,2026Q1,0,OK,0,OK,17496423176,OK,0,OK,INCLUDED_EXPLICIT_VALUE,867601030324,OK,0.34263370562732814,0.2676341728453521,,,True,True,0,,data/fundamentals/run_state/2026-07-17/normalized/D2D/income_statement.parquet,data/fundamentals/run_state/2026-07-17/normalized/D2D/balance_sheet.parquet,data/market_cap/2026-07-19/universe_market_cap.csv,Sprint 4 survivors + Sprint 3 normalized quarterly cache + calibrated KBS market cap,2026-07-17,OK,2026Q1,6720759783,0,0,0,5293870702,2025Q4,8810022141,0,0,-906755734,6467872704,2025Q3,22812953725,0,0,0,18298567872,2025Q2,258925620377,0,0,3249825388,206822013577,3,3,True,True
ABT,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,2026-07-20,599462381300,OK,2026-07-17,2025-12-31,OK,,,0,OK,OK,OK,OK,177777711405,5049109964,182826821369,158105681747,2026Q1,202963218779,OK,0,OK,93029430455,OK,0,OK,INCLUDED_EXPLICIT_VALUE,709396169624,OK,0.25772174871750914,0.2637457940298613,,,True,True,1,2025Q4,data/fundamentals/run_state/2026-07-17/normalized/ABT/income_statement.parquet,data/fundamentals/run_state/2026-07-17/normalized/ABT/balance_sheet.parquet,data/market_cap/2026-07-19/universe_market_cap.csv,Sprint 4 survivors + Sprint 3 normalized quarterly cache + calibrated KBS market cap,2026-07-17,OK,2026Q1,24945260437,-2162186928,2162186928,-2714726223,22273623047,2025Q4,37266956604,-1401332032,1401332032,-557133118,33885771947,2025Q3,47872266221,-1019211395,1019211395,-2707437033,40250553945,2025Q2,67693228143,-466379609,466379609,-755327854,61695732808,8,4,True,True
DC4,HOSE,XÂY DỰNG VÀ VẬT LIỆU,2026-07-20,752088322320,OK,2026-07-17,2025-12-31,OK,,,0,OK,OK,OK,OK,239807303719,13720062732,253527366451,189864086947,2026Q1,90321590869,OK,0,OK,173399830659,OK,2694758011,OK,INCLUDED_EXPLICIT_VALUE,671704840541,OK,0.37743864737792526,0.25244918889488654,,,True,True,0,,data/fundamentals/run_state/2026-07-17/normalized/DC4/income_statement.parquet,data/fundamentals/run_state/2026-07-17/normalized/DC4/balance_sheet.parquet,data/market_cap/2026-07-19/universe_market_cap.csv,Sprint 4 survivors + Sprint 3 normalized quarterly cache + calibrated KBS market cap,2026-07-17,OK,2026Q1,61443534019,-1713033786,1713033786,-1719213518,48804809977,2025Q4,52090073679,-86282287,86282287,-819423038,40524894796,2025Q3,73385562677,-3815191535,3815191535,-3815191535,58303809021,2025Q2,52888133344,-8105555124,8105555124,-8105555124,42230573153,2,5,True,True
VVS,HOSE,Ô TÔ VÀ PHỤ TÙNG,2026-07-20,1965232500000,OK,2026-07-17,2025-12-31,OK,,,0,OK,OK,OK,OK,577003937619,46835985857,623839923476,461566828626,2026Q1,642704532059,OK,0,OK,53292017321,OK,0,OK,INCLUDED_EXPLICIT_VALUE,2554645014738,OK,0.24419828190492446,0.23486627084886902,,,True,True,0,,data/fundamentals/run_state/2026-07-17/normalized/VVS/income_statement.parquet,data/fundamentals/run_state/2026-07-17/normalized/VVS/balance_sheet.parquet,data/market_cap/2026-07-19/universe_market_cap.csv,Sprint 4 survivors + Sprint 3 normalized quarterly cache + calibrated KBS market cap,2026-07-17,OK,2026Q1,208134286158,-14674931008,14674931008,-65324070390,166484143439,2025Q4,188578934496,-12113906284,12113906284,-22712880526,150854155273,2025Q3,111179427507,-12132337866,12132337866,-27383221403,88943531002,2025Q2,69111289458,-7914810699,7914810699,-36786820594,55284998912,10,6,True,True
ANV,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,2026-07-20,4819229075000,OK,2026-07-17,2023-12-31,OK,,,0,OK,OK,OK,OK,1245227234543,69436018544,1314663253087,1062819418622,2026Q1,1764621181450,OK,53171320060,OK,30765893538,OK,0,OK,INCLUDED_EXPLICIT_VALUE,6606255682972,OK,0.1990027810270225,0.22053722744482737,,,True,True,0,,data/fundamentals/run_state/2026-07-17/normalized/ANV/income_statement.parquet,data/fundamentals/run_state/2026-07-17/normalized/ANV/balance_sheet.parquet,data/market_cap/2026-07-19/universe_market_cap.csv,Sprint 4 survivors + Sprint 3 normalized quarterly cache + calibrated KBS market cap,2026-07-17,OK,2026Q1,237191238295,-17091681278,17091681278,-21386003121,195357833650,2025Q4,294852258565,-17992051897,17992051897,-20307753322,251570878518,2025Q3,343498882706,-16143299241,16143299241,-16671249586,283077814084,2025Q2,369684854977,-18208986128,18208986128,-19276119991,332812892370,17,7,True,True
PAN,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,2026-07-20,5314271119200,OK,2026-07-17,2025-12-31,OK,,,0,OK,OK,OK,OK,1871964144725,325764258733,2197728403458,1150209417621,2026Q1,2410851040525,OK,344096597470,OK,3647877566971,OK,3766503959853,OK,INCLUDED_EXPLICIT_VALUE,8187845150077,OK,0.2684135280009945,0.21643785042607128,,,True,True,0,,data/fundamentals/run_state/2026-07-17/normalized/PAN/income_statement.parquet,data/fundamentals/run_state/2026-07-17/normalized/PAN/balance_sheet.parquet,data/market_cap/2026-07-19/universe_market_cap.csv,Sprint 4 survivors + Sprint 3 normalized quarterly cache + calibrated KBS market cap,2026-07-17,OK,2026Q1,744110204149,-37272499870,37272499870,-143486122606,585211361350,2025Q4,515671387819,-62019196481,62019196481,-99867472632,269772952885,2025Q3,304850710456,-89130531403,89130531403,-124150100521,156192900845,2025Q2,307331842301,-137342030979,137342030979,-175698476698,139032202541,6,8,True,True
LHG,HOSE,BẤT ĐỘNG SẢN,2026-07-20,1407838081500,OK,2026-07-17,2025-12-31,OK,,,0,OK,OK,OK,OK,365839429211,13636620220,379476049431,294555818262,2026Q1,28737542260,OK,219058960000,OK,79500224191,OK,0,OK,INCLUDED_EXPLICIT_VALUE,1576134359569,OK,0.2407637693621305,0.2092256361954363,,,True,True,3,2026Q1|2025Q4|2025Q3,data/fundamentals/run_state/2026-07-17/normalized/LHG/income_statement.parquet,data/fundamentals/run_state/2026-07-17/normalized/LHG/balance_sheet.parquet,data/market_cap/2026-07-19/universe_market_cap.csv,Sprint 4 survivors + Sprint 3 normalized quarterly cache + calibrated KBS market cap,2026-07-17,OK,2026Q1,139882832225,-4487095578,4487095578,-4389328665,112183216200,2025Q4,56851531200,-2956943350,2956943350,-1266275962,46465219146,2025Q3,57055933683,-2955257916,2955257916,-964239850,46094191870,2025Q2,112049132103,-3237323376,3237323376,-4696580022,89813191046,11,9,True,True
TIP,HOSE,BẤT ĐỘNG SẢN,2026-07-20,1137637497500,OK,2026-07-17,2025-12-31,OK,,,0,OK,OK,OK,OK,289759985709,0,289759985709,233416851454,2026Q1,0,OK,0,OK,159240111183,OK,35779152151,OK,INCLUDED_EXPLICIT_VALUE,1014176538468,OK,0.2857096123981601,0.2051768265083931,,,True,True,0,,data/fundamentals/run_state/2026-07-17/normalized/TIP/income_statement.parquet,data/fundamentals/run_state/2026-07-17/normalized/TIP/balance_sheet.parquet,data/market_cap/2026-07-19/universe_market_cap.csv,Sprint 4 survivors + Sprint 3 normalized quarterly cache + calibrated KBS market cap,2026-07-17,OK,2026Q1,46536771050,0,0,-927476005,36678969722,2025Q4,120065166340,0,0,-1801689345,97603771698,2025Q3,34709168664,0,0,4770849370,28087316585,2025Q2,88448879655,0,0,-1810798887,71046793449,4,10,True,True
AGG,HOSE,BẤT ĐỘNG SẢN,2026-07-20,1860946527450,OK,2026-07-17,2025-12-31,OK,,,0,OK,OK,OK,OK,349274733536,102558113362,451832846898,373941986481,2026Q1,1006564333826,OK,0,OK,46390210765,OK,81343007,OK,INCLUDED_EXPLICIT_VALUE,2821201993518,OK,0.16015614902305192,0.2009418223281255,,,True,True,0,,data/fundamentals/run_state/2026-07-17/normalized/AGG/income_statement.parquet,data/fundamentals/run_state/2026-07-17/normalized/AGG/balance_sheet.parquet,data/market_cap/2026-07-19/universe_market_cap.csv,Sprint 4 survivors + Sprint 3 normalized quarterly cache + calibrated KBS market cap,2026-07-17,OK,2026Q1,8518850772,-22634835672,22634835672,-25261306406,5015102306,2025Q4,92962069740,-26578490963,26578490963,-27224336797,179331985756,2025Q3,142596952157,-27943908097,27943908097,-34262094067,108996020595,2025Q2,105196860867,-25400878630,25400878630,-40135592737,80598877824,29,11,True,True
