ticker,exchange,icb2,icb3,icb4,market_cap,adtv_20d,status,reject_reason,as_of,source,data_status
AAA,HOSE,HÓA CHẤT,HÓA CHẤT,"NHỰA, CAO SU & SỢI",,7386383600.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
ABT,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,NUÔI TRỒNG NÔNG & HẢI SẢN,,554309000.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
ACB,HOSE,NGÂN HÀNG,NGÂN HÀNG,NGÂN HÀNG,,435155708976.5,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
ADS,HOSE,HÀNG CÁ NHÂN & GIA DỤNG,HÀNG CÁ NHÂN,HÀNG MAY MẶC,,1393212131.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
AFX,HOSE,BÁN LẺ,PHÂN PHỐI THỰC PHẨM & DƯỢC PHẨM,PHÂN PHỐI THỰC PHẨM,,750184750.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
AGG,HOSE,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,,3835484500.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
AGR,HOSE,DỊCH VỤ TÀI CHÍNH,DỊCH VỤ TÀI CHÍNH,MÔI GIỚI CHỨNG KHOÁN,,9060149500.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
ANV,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,NUÔI TRỒNG NÔNG & HẢI SẢN,,12126511000.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
APG,HOSE,DỊCH VỤ TÀI CHÍNH,DỊCH VỤ TÀI CHÍNH,MÔI GIỚI CHỨNG KHOÁN,,3820845850.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
APH,HOSE,HÀNG & DỊCH VỤ CÔNG NGHIỆP,HÀNG CÔNG NGHIỆP,CONTAINERS & ĐÓNG GÓI,,588377350.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
ASM,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,NUÔI TRỒNG NÔNG & HẢI SẢN,,1636357750.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
ASP,HOSE,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",NƯỚC & KHÍ ĐỐT,PHÂN PHỐI XĂNG DẦU & KHÍ ĐỐT,,1993330650.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
BAF,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,SẢN XUẤT THỰC PHẨM,NUÔI TRỒNG NÔNG & HẢI SẢN,,51716818163.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
BCG,HOSE,DỊCH VỤ TÀI CHÍNH,DỊCH VỤ TÀI CHÍNH,TÀI CHÍNH ĐẶC BIỆT,,19954726000.0,ACCEPTED,,2025-10-08,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
BCM,HOSE,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,BẤT ĐỘNG SẢN,,15442683500.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
BFC,HOSE,HÓA CHẤT,HÓA CHẤT,"SẢN PHẨM HÓA DẦU, NÔNG DƯỢC & HÓA CHẤT KHÁC",,7192539500.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
BIC,HOSE,BẢO HIỂM,BẢO HIỂM PHI NHÂN THỌ,BẢO HIỂM PHI NHÂN THỌ,,1264423250.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
BID,HOSE,NGÂN HÀNG,NGÂN HÀNG,NGÂN HÀNG,,167357388250.0,ACCEPTED,,2026-07-03,vnstock+vnstock_vci_symbols_by_industries+adtv_close_x_volume_x1000_proxy,OK
