ticker,exchange,icb2,scope,coverage_status,data_status_reason,other_current_assets,statement_statuses,source_modes
AAA,HOSE,HÓA CHẤT,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
AAH,UPCOM,TÀI NGUYÊN CƠ BẢN,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
AAS,UPCOM,DỊCH VỤ TÀI CHÍNH,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
AAV,UPCOM,BẤT ĐỘNG SẢN,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
ABB,UPCOM,NGÂN HÀNG,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
ABT,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
ABW,UPCOM,DỊCH VỤ TÀI CHÍNH,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
ACB,HOSE,NGÂN HÀNG,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
ACM,UPCOM,TÀI NGUYÊN CƠ BẢN,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
ACV,UPCOM,HÀNG & DỊCH VỤ CÔNG NGHIỆP,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
ADS,HOSE,HÀNG CÁ NHÂN & GIA DỤNG,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
AFX,HOSE,BÁN LẺ,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
AGG,HOSE,BẤT ĐỘNG SẢN,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
AGR,HOSE,DỊCH VỤ TÀI CHÍNH,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
AGX,UPCOM,BÁN LẺ,NON_FINANCIAL,FAIL,BALANCE_SHEET:MISSING_DATA;BALANCE_SHEET:current_assets:MISSING;BALANCE_SHEET:cash_and_cash_equivalents:MISSING;BALANCE_SHEET:short_term_investments:MISSING;BALANCE_SHEET:accounts_receivable:MISSING;BALANCE_SHEET:inventories_net:MISSING;BALANCE_SHEET:fixed_assets:MISSING;BALANCE_SHEET:tangible_fixed_assets:MISSING;BALANCE_SHEET:total_assets:MISSING;BALANCE_SHEET:current_liabilities:MISSING;BALANCE_SHEET:short_term_borrowings:MISSING;BALANCE_SHEET:taxes_and_other_payable_to_state_budget:MISSING;BALANCE_SHEET:long_term_liabilities:MISSING;BALANCE_SHEET:long_term_borrowings:MISSING;BALANCE_SHEET:owners_equity:MISSING;BALANCE_SHEET:undistributed_earnings:MISSING;BALANCE_SHEET:minority_interests:MISSING;BALANCE_SHEET:preferred_shares:MISSING;BALANCE_SHEET:paid_in_capital:MISSING;INCOME_STATEMENT:MISSING_DATA;INCOME_STATEMENT:net_sales:MISSING;INCOME_STATEMENT:cost_of_sales:MISSING;INCOME_STATEMENT:gross_profit:MISSING;INCOME_STATEMENT:selling_expenses:MISSING;INCOME_STATEMENT:general_and_admin_expenses:MISSING;INCOME_STATEMENT:operating_profit_loss:MISSING;INCOME_STATEMENT:interest_expenses:MISSING;INCOME_STATEMENT:net_accounting_profit_loss_before_tax:MISSING;INCOME_STATEMENT:net_profit_loss_after_tax:MISSING;INCOME_STATEMENT:attributable_to_parent_company:MISSING;CASH_FLOW:MISSING_DATA;CASH_FLOW:depreciation_and_amortization:MISSING;CASH_FLOW:net_cash_inflows_outflows_from_operating_activities:MISSING;CASH_FLOW:proceeds_from_issue_of_shares:MISSING,MISSING,"{""BALANCE_SHEET"":""MISSING_DATA"",""INCOME_STATEMENT"":""MISSING_DATA"",""CASH_FLOW"":""MISSING_DATA""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
AIG,UPCOM,THỰC PHẨM VÀ ĐỒ UỐNG,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
AMS,UPCOM,HÀNG & DỊCH VỤ CÔNG NGHIỆP,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
ANV,HOSE,THỰC PHẨM VÀ ĐỒ UỐNG,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
APF,UPCOM,THỰC PHẨM VÀ ĐỒ UỐNG,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
APG,HOSE,DỊCH VỤ TÀI CHÍNH,FINANCIAL_RAW_FETCH_ONLY,EXCLUDED_FINANCIAL_RAW_OK,OK,NOT_APPLICABLE,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
APH,HOSE,HÀNG & DỊCH VỤ CÔNG NGHIỆP,NON_FINANCIAL,PASS,OK,PRESENT,"{""BALANCE_SHEET"":""OK"",""INCOME_STATEMENT"":""OK"",""CASH_FLOW"":""OK""}","{""BALANCE_SHEET"":""CACHED_RAW_RENORMALIZED"",""INCOME_STATEMENT"":""CACHED_RAW_RENORMALIZED"",""CASH_FLOW"":""CACHED_RAW_RENORMALIZED""}"
