icb2,formula_stage_universe_count,universe_weight,high_accrual_reject_count,m_score_flag_reject_count,reject_count,reject_set_weight,reject_weight_divided_by_universe_weight,review_flag
BÁN LẺ,6,0.024691358024691357,1,3,4,0.05194805194805195,2.103896103896104,True
BẤT ĐỘNG SẢN,53,0.21810699588477367,7,11,18,0.23376623376623376,1.071796128399902,False
CÔNG NGHỆ THÔNG TIN,6,0.024691358024691357,2,1,3,0.03896103896103896,1.577922077922078,False
DU LỊCH VÀ GIẢI TRÍ,4,0.01646090534979424,1,0,1,0.012987012987012988,0.788961038961039,False
DẦU KHÍ,6,0.024691358024691357,3,0,3,0.03896103896103896,1.577922077922078,False
HÀNG & DỊCH VỤ CÔNG NGHIỆP,22,0.09053497942386832,3,1,4,0.05194805194805195,0.5737898465171193,False
HÀNG CÁ NHÂN & GIA DỤNG,10,0.0411522633744856,1,1,2,0.025974025974025976,0.6311688311688312,False
HÓA CHẤT,18,0.07407407407407407,1,6,7,0.09090909090909091,1.2272727272727273,False
THỰC PHẨM VÀ ĐỒ UỐNG,25,0.102880658436214,1,4,5,0.06493506493506493,0.631168831168831,False
TRUYỀN THÔNG,2,0.00823045267489712,1,0,1,0.012987012987012988,1.577922077922078,False
TÀI NGUYÊN CƠ BẢN,16,0.06584362139917696,1,1,2,0.025974025974025976,0.3944805194805195,False
XÂY DỰNG VÀ VẬT LIỆU,45,0.18518518518518517,12,7,19,0.24675324675324675,1.3324675324675326,False
Y TẾ,11,0.04526748971193416,4,0,4,0.05194805194805195,1.1475796930342386,False
Ô TÔ VÀ PHỤ TÙNG,7,0.02880658436213992,3,0,3,0.03896103896103896,1.3525046382189239,False
"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",12,0.04938271604938271,1,0,1,0.012987012987012988,0.262987012987013,False
