icb2,group_size,per_sector_worst_pct,per_sector_cut_count,effective_cut_percentage,sta_affected_tickers,snoa_affected_tickers,union_affected_tickers,difference_from_operative_whole_universe
BÁN LẺ,6,0.1,1,0.3333333333333333,PSD,DGW,DGW|PSD,DGW
BẤT ĐỘNG SẢN,53,0.1,6,0.16981132075471697,CRE|KBC|KSF|NBB|TAL|VHM,KBC|KHG|KSF|TAL|THD|VPI,CRE|KBC|KHG|KSF|NBB|TAL|THD|VHM|VPI,THD|VHM
CÔNG NGHỆ THÔNG TIN,6,0.1,1,0.3333333333333333,UNI,SAM,SAM|UNI,ELC|SAM
DU LỊCH VÀ GIẢI TRÍ,4,0.1,1,0.5,SCS,VJC,SCS|VJC,VJC
DẦU KHÍ,6,0.1,1,0.16666666666666666,PVB,PVB,PVB,BSR|PVC
HÀNG & DỊCH VỤ CÔNG NGHIỆP,22,0.1,3,0.2727272727272727,GEE|GEX|NCT,HAH|IPA|VSC,GEE|GEX|HAH|IPA|NCT|VSC,GEX|HAH|NCT
HÀNG CÁ NHÂN & GIA DỤNG,10,0.1,1,0.2,PNJ,LBE,LBE|PNJ,PNJ
HÓA CHẤT,18,0.1,2,0.16666666666666666,BFC|VTZ,TSC|VTZ,BFC|TSC|VTZ,TSC|VTZ
THỰC PHẨM VÀ ĐỒ UỐNG,25,0.1,3,0.2,ABT|FMC|LAF,BAF|HAG|LAF,ABT|BAF|FMC|HAG|LAF,ABT|BAF|FMC|HAG
TRUYỀN THÔNG,2,0.1,1,1.0,YEG,DST,DST|YEG,YEG
TÀI NGUYÊN CƠ BẢN,16,0.1,2,0.25,DHC|MZG,HHP|NKG,DHC|HHP|MZG|NKG,DHC|MZG|NKG
XÂY DỰNG VÀ VẬT LIỆU,45,0.1,5,0.2,CDC|CIG|L40|MST|SVN,C69|CRC|L40|NHA|TLD,C69|CDC|CIG|CRC|L40|MST|NHA|SVN|TLD,HID|MBG|NNC
Y TẾ,11,0.1,2,0.18181818181818182,LDP|VHE,LDP|VHE,LDP|VHE,SRA|TNH
Ô TÔ VÀ PHỤ TÙNG,7,0.1,1,0.14285714285714285,HHS,HHS,HHS,HAX|HUT
"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",12,0.1,2,0.3333333333333333,NT2|POW,GEG|TTA,GEG|NT2|POW|TTA,GEG|POW|TTA
