ticker,company_type,statement_type,period_type,requested_at,returned_period_count,source,as_of,data_status,error
FPT,NON_FINANCIAL,BALANCE_SHEET,QUARTER,2026-07-16T15:37:54+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
FPT,NON_FINANCIAL,INCOME_STATEMENT,QUARTER,2026-07-16T15:39:14+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
FPT,NON_FINANCIAL,CASH_FLOW,QUARTER,2026-07-16T15:39:20+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
CSM,NON_FINANCIAL,BALANCE_SHEET,QUARTER,2026-07-16T15:39:27+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
CSM,NON_FINANCIAL,INCOME_STATEMENT,QUARTER,2026-07-16T15:39:33+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
CSM,NON_FINANCIAL,CASH_FLOW,QUARTER,2026-07-16T15:39:40+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
DVP,NON_FINANCIAL,BALANCE_SHEET,QUARTER,2026-07-16T15:39:47+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
DVP,NON_FINANCIAL,INCOME_STATEMENT,QUARTER,2026-07-16T15:39:53+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
DVP,NON_FINANCIAL,CASH_FLOW,QUARTER,2026-07-16T15:39:59+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
C32,NON_FINANCIAL,BALANCE_SHEET,QUARTER,2026-07-16T15:40:05+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
C32,NON_FINANCIAL,INCOME_STATEMENT,QUARTER,2026-07-16T15:40:11+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
C32,NON_FINANCIAL,CASH_FLOW,QUARTER,2026-07-16T15:40:18+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
VOS,NON_FINANCIAL,BALANCE_SHEET,QUARTER,2026-07-16T15:40:24+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
VOS,NON_FINANCIAL,INCOME_STATEMENT,QUARTER,2026-07-16T15:40:30+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
VOS,NON_FINANCIAL,CASH_FLOW,QUARTER,2026-07-16T15:40:36+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
PHR,NON_FINANCIAL,BALANCE_SHEET,QUARTER,2026-07-16T15:40:43+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
PHR,NON_FINANCIAL,INCOME_STATEMENT,QUARTER,2026-07-16T15:40:51+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
PHR,NON_FINANCIAL,CASH_FLOW,QUARTER,2026-07-16T15:40:57+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
DP3,NON_FINANCIAL,BALANCE_SHEET,QUARTER,2026-07-16T15:41:04+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
DP3,NON_FINANCIAL,INCOME_STATEMENT,QUARTER,2026-07-16T15:41:10+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
DP3,NON_FINANCIAL,CASH_FLOW,QUARTER,2026-07-16T15:41:17+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
DHC,NON_FINANCIAL,BALANCE_SHEET,QUARTER,2026-07-16T15:41:24+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
DHC,NON_FINANCIAL,INCOME_STATEMENT,QUARTER,2026-07-16T15:41:31+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
DHC,NON_FINANCIAL,CASH_FLOW,QUARTER,2026-07-16T15:41:37+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
DRC,NON_FINANCIAL,BALANCE_SHEET,QUARTER,2026-07-16T15:41:44+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
DRC,NON_FINANCIAL,INCOME_STATEMENT,QUARTER,2026-07-16T15:41:51+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
DRC,NON_FINANCIAL,CASH_FLOW,QUARTER,2026-07-16T15:41:57+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
VCS,NON_FINANCIAL,BALANCE_SHEET,QUARTER,2026-07-16T15:42:04+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
VCS,NON_FINANCIAL,INCOME_STATEMENT,QUARTER,2026-07-16T15:42:11+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
VCS,NON_FINANCIAL,CASH_FLOW,QUARTER,2026-07-16T15:42:19+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
TLH,NON_FINANCIAL,BALANCE_SHEET,QUARTER,2026-07-16T15:42:25+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
TLH,NON_FINANCIAL,INCOME_STATEMENT,QUARTER,2026-07-16T15:42:30+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
TLH,NON_FINANCIAL,CASH_FLOW,QUARTER,2026-07-16T15:42:36+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
HID,NON_FINANCIAL,BALANCE_SHEET,QUARTER,2026-07-16T15:42:41+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
HID,NON_FINANCIAL,INCOME_STATEMENT,QUARTER,2026-07-16T15:42:50+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
HID,NON_FINANCIAL,CASH_FLOW,QUARTER,2026-07-16T15:42:56+00:00,4,vnstock_VCI_financial,2026-07-16,OK,
