ticker,status,effective_date,lifted_date,source_url,published_date,recorded_at,note
TNC,WARNING,2026-07-27,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
HVN,WARNING,2026-07-14,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
DRH,WARNING,2026-07-13,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
DGC,WARNING,2026-07-09,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
DGC,WARNING,2026-06-30,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
VCA,WARNING,2026-06-05,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
PTL,WARNING,2026-05-05,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
DTA,WARNING,2026-04-24,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
VMD,WARNING,2026-04-24,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
VMD,WARNING,2026-04-24,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
PTL,WARNING,2026-04-23,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
LDG,WARNING,2026-04-20,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
VCA,WARNING,2026-04-14,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
VCA,WARNING,2026-04-14,,https://www.hsx.vn/vi/theo-doi-dac-biet,,2026-07-31,HOSE tab CK Thuoc Dien Bi Canh Bao; ngay hieu luc lay tu cot NGAY HIEU LUC
