ticker,quarter,raw_interest_expenses,override_action,status,evidence_url,published_date,recorded_at,note
ADS,2020Q4,29395788353.0,ABS,UNVERIFIED,,,2026-07-29,
API,2023Q3,14233374826.0,ABS,UNVERIFIED,,,2026-07-29,
BAF,2022Q2,1481103486.0,ABS,UNVERIFIED,,,2026-07-29,
BMP,2022Q2,23600946.0,ABS,UNVERIFIED,,,2026-07-29,
CEO,2023Q4,7016603394.0,ABS,UNVERIFIED,,,2026-07-29,
CIG,2019Q4,130737497.0,ABS,UNVERIFIED,,,2026-07-29,
CIG,2023Q4,50235690.0,ABS,UNVERIFIED,,,2026-07-29,
CIG,2025Q4,47522349539.0,ABS,UNVERIFIED,,,2026-07-29,
CMS,2021Q3,574566933.0,ABS,UNVERIFIED,,,2026-07-29,
CMS,2022Q4,2005852170.0,ABS,UNVERIFIED,,,2026-07-29,
CMS,2025Q2,1920893429.0,ABS,UNVERIFIED,,,2026-07-29,
CSV,2019Q3,3347200978.0,ABS,UNVERIFIED,,,2026-07-29,
DPR,2023Q2,32239726.0,ABS,UNVERIFIED,,,2026-07-29,
DST,2021Q1,78639159.0,ABS,UNVERIFIED,,,2026-07-29,
DTD,2025Q2,1183805814.0,ABS,UNVERIFIED,,,2026-07-29,
DVP,2018Q2,59153140.0,ABS,UNVERIFIED,,,2026-07-29,
EVG,2019Q2,460162854.0,ABS,UNVERIFIED,,,2026-07-29,
EVG,2022Q2,1643836.0,ABS,UNVERIFIED,,,2026-07-29,
EVG,2024Q2,7434725797.0,ABS,UNVERIFIED,,,2026-07-29,
GIL,2025Q4,11121369041.0,ABS,UNVERIFIED,,,2026-07-29,
HAG,2023Q4,951800507000.0,SUBTRACT,VERIFIED_INCOME,https://thitruongtaichinhtiente.vn/hoang-anh-gia-lai-cong-bo-tat-toan-khoan-vay-eximbank-750-ty-dong-duoc-mien-lai-hon-1-400-ty-dong-54959.html,,2026-07-29,"Eximbank waived 1,424.8 billion VND of interest and penalties; loan settled 2023-12-12; HAG reversed roughly 1,000 billion VND of financial expenses in Q4 2023."
HAG,2026Q1,582851166000.0,ABS,UNVERIFIED,,,2026-07-29,
HPX,2018Q4,9562470707.0,ABS,UNVERIFIED,,,2026-07-29,
HSL,2025Q4,20608290.0,ABS,UNVERIFIED,,,2026-07-29,
IDI,2025Q2,38092546961.0,ABS,UNVERIFIED,,,2026-07-29,
IDJ,2019Q2,78340282.0,ABS,UNVERIFIED,,,2026-07-29,
ITC,2022Q2,833355814.0,ABS,UNVERIFIED,,,2026-07-29,
KDH,2022Q2,1186027000.0,ABS,UNVERIFIED,,,2026-07-29,
KHG,2025Q4,27300197996.0,ABS,UNVERIFIED,,,2026-07-29,
KSF,2023Q2,64014678299.0,ABS,UNVERIFIED,,,2026-07-29,
L14,2022Q2,3876398191.0,ABS,UNVERIFIED,,,2026-07-29,
LDG,2024Q3,14099746005.0,ABS,UNVERIFIED,,,2026-07-29,
LDP,2025Q2,6919815.0,ABS,UNVERIFIED,,,2026-07-29,
MCP,2026Q2,378575462.0,ABS,UNVERIFIED,,,2026-07-29,
MSH,2018Q3,8875089612.0,ABS,UNVERIFIED,,,2026-07-29,
MSH,2023Q4,11037486277.0,ABS,UNVERIFIED,,,2026-07-29,
NDN,2018Q2,227650532.0,ABS,UNVERIFIED,,,2026-07-29,
NDN,2021Q2,1928027321.0,ABS,UNVERIFIED,,,2026-07-29,
NLG,2025Q4,1504574311.0,ABS,UNVERIFIED,,,2026-07-29,
NTC,2019Q4,50097000.0,ABS,UNVERIFIED,,,2026-07-29,
NTL,2024Q2,1497163255.0,ABS,UNVERIFIED,,,2026-07-29,
NTL,2024Q4,1497163255.0,ABS,UNVERIFIED,,,2026-07-29,
OCH,2020Q2,324354036.0,ABS,UNVERIFIED,,,2026-07-29,
PET,2023Q4,24353382608.0,ABS,UNVERIFIED,,,2026-07-29,
PPC,2024Q2,84523233.0,ABS,UNVERIFIED,,,2026-07-29,
PPT,2026Q2,4287924584.0,ABS,UNVERIFIED,,,2026-07-29,
PVC,2018Q2,31738346717.0,ABS,UNVERIFIED,,,2026-07-29,
PVC,2022Q2,1655766266.0,ABS,UNVERIFIED,,,2026-07-29,
PVP,2018Q4,3416650258.0,ABS,UNVERIFIED,,,2026-07-29,
PVP,2019Q2,2504709801.0,ABS,UNVERIFIED,,,2026-07-29,
PVP,2020Q2,2134288832.0,ABS,UNVERIFIED,,,2026-07-29,
SAB,2021Q1,14080239135.0,ABS,UNVERIFIED,,,2026-07-29,
SIP,2019Q2,2001527190.0,ABS,UNVERIFIED,,,2026-07-29,
SRA,2023Q2,202624657.0,ABS,UNVERIFIED,,,2026-07-29,
SVN,2024Q4,400780409.0,ABS,UNVERIFIED,,,2026-07-29,
TCD,2020Q2,32552924725.0,ABS,SUSPECTED_SIGN_ERROR,,,2026-07-29,magnitude equals 1.0x the ticker's median negative interest and financial_expenses stayed negative; no external source found.
TCH,2019Q3,5563842640.0,ABS,UNVERIFIED,,,2026-07-29,
TCH,2024Q1,485557058.0,ABS,UNVERIFIED,,,2026-07-29,
TCH,2025Q1,386016438.0,ABS,UNVERIFIED,,,2026-07-29,
THG,2026Q2,7404802620.0,ABS,UNVERIFIED,,,2026-07-29,
TIG,2023Q2,1108350370.0,ABS,UNVERIFIED,,,2026-07-29,
TIG,2024Q4,7475944930.0,ABS,SUSPECTED_SIGN_ERROR,https://tinnhanhnhadat.vn/thang-long-invest-tig-chi-phi-tai-chinh-tang-dot-bien-da-keo-sap-loi-nhuan-lo-hen-voi-hang-loat-thuong-vu.html,,2026-07-29,"TIG reported a Q4 2024 loss driven by a large rise in interest expense, not a waiver; the press figure does not reconcile with the committed value, so the sign is suspected but the magnitude is UNRECONCILED."
TLD,2019Q2,37560373.0,ABS,UNVERIFIED,,,2026-07-29,
TTF,2021Q2,18015544309.0,ABS,UNVERIFIED,,,2026-07-29,
TTF,2024Q1,24942362417.0,ABS,UNVERIFIED,,,2026-07-29,
UNI,2021Q2,508180823.0,ABS,UNVERIFIED,,,2026-07-29,
VFG,2020Q3,279271862.0,ABS,UNVERIFIED,,,2026-07-29,
VHE,2020Q4,5026954437.0,ABS,UNVERIFIED,,,2026-07-29,
VHE,2021Q4,3896015304.0,ABS,UNVERIFIED,,,2026-07-29,
VIP,2019Q1,5006290660.0,ABS,SUSPECTED_SIGN_ERROR,,,2026-07-29,same signature as TCD 2020Q2; no external source found.
