as_of,icb2,accepted_ticker_count,valid_price_count,valid_ma50_count,valid_ma200_count,valid_market_cap_count,missing_price_count,api_error_count,missing_indicator_count,coverage_status,coverage_warning,source
2026-07-03,BÁN LẺ,8,4,4,4,0,4,4,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,BẢO HIỂM,5,3,3,3,0,2,2,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,BẤT ĐỘNG SẢN,57,29,29,29,0,28,28,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,CÔNG NGHỆ THÔNG TIN,6,3,3,3,0,3,3,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,DU LỊCH VÀ GIẢI TRÍ,6,3,3,3,0,3,3,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,DẦU KHÍ,8,7,7,7,0,1,1,3,OK,OK: 7/8 mã có dữ liệu giá hợp lệ.,vnstock_vci_quote_history+vnstock
2026-07-03,DỊCH VỤ TÀI CHÍNH,35,23,23,21,0,12,12,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,HÀNG & DỊCH VỤ CÔNG NGHIỆP,33,18,18,17,0,15,15,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,HÀNG CÁ NHÂN & GIA DỤNG,12,7,7,7,0,5,5,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,HÓA CHẤT,23,15,15,15,0,8,8,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,NGÂN HÀNG,23,9,9,9,0,14,14,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,THỰC PHẨM VÀ ĐỒ UỐNG,37,19,19,19,0,18,18,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,TRUYỀN THÔNG,6,4,4,4,0,2,2,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,TÀI NGUYÊN CƠ BẢN,23,13,13,13,0,10,10,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,VIỄN THÔNG,2,1,1,1,0,1,1,3,LOW_COVERAGE,"Cảnh báo: ngành này có ít mã hợp lệ, chỉ báo có thể bị méo bởi một vài cổ phiếu lớn.",vnstock_vci_quote_history+vnstock
2026-07-03,XÂY DỰNG VÀ VẬT LIỆU,59,40,40,40,0,19,19,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,Y TẾ,12,7,7,7,0,5,5,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
2026-07-03,Ô TÔ VÀ PHỤ TÙNG,7,5,5,5,0,2,2,3,OK,OK: 5/7 mã có dữ liệu giá hợp lệ.,vnstock_vci_quote_history+vnstock
2026-07-03,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",16,10,10,10,0,6,6,3,DATA_WEAK,"Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",vnstock_vci_quote_history+vnstock
