as_of,icb2,ticker_count,main_signal,supporting_evidence,contradicting_evidence,data_quality_status,confidence_lite,source
2026-07-03,BÁN LẺ,8,Dữ liệu chưa đủ để kết luận chắc; ngành cần được theo dõi thêm.,sector_return_1w_equal_weight=0.0134; sector_return_1m_equal_weight=0.0161; relative_strength_1m_vs_vnindex=N/A (MISSING_DATA); breadth_ma50_pct=0.2500,"drawdown_from_52w_high=-0.0309; volatility_20d=0.0131; liquidity_trend_4w=-0.1243; missing_fields=relative_strength_1m_vs_vnindex|sector_return_1w_cap_weight|sector_return_1m_cap_weight|vnindex_price_history; coverage_warning=Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",DATA_WEAK,45,vnstock_vci_quote_history
2026-07-03,BẢO HIỂM,5,Dữ liệu chưa đủ để kết luận chắc; ngành cần được theo dõi thêm.,sector_return_1w_equal_weight=-0.0062; sector_return_1m_equal_weight=-0.0607; relative_strength_1m_vs_vnindex=N/A (MISSING_DATA); breadth_ma50_pct=0.0000,"drawdown_from_52w_high=-0.2100; volatility_20d=0.0078; liquidity_trend_4w=-0.4573; missing_fields=relative_strength_1m_vs_vnindex|sector_return_1w_cap_weight|sector_return_1m_cap_weight|vnindex_price_history; coverage_warning=Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",DATA_WEAK,30,vnstock_vci_quote_history
2026-07-03,BẤT ĐỘNG SẢN,57,Dữ liệu chưa đủ để kết luận chắc; ngành cần được theo dõi thêm.,sector_return_1w_equal_weight=-0.0198; sector_return_1m_equal_weight=-0.0322; relative_strength_1m_vs_vnindex=N/A (MISSING_DATA); breadth_ma50_pct=0.2414,"drawdown_from_52w_high=-0.1322; volatility_20d=0.0061; liquidity_trend_4w=-0.1290; missing_fields=relative_strength_1m_vs_vnindex|sector_return_1w_cap_weight|sector_return_1m_cap_weight|vnindex_price_history; coverage_warning=Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",DATA_WEAK,45,vnstock_vci_quote_history
2026-07-03,CÔNG NGHỆ THÔNG TIN,6,Dữ liệu chưa đủ để kết luận chắc; ngành cần được theo dõi thêm.,sector_return_1w_equal_weight=0.0015; sector_return_1m_equal_weight=-0.0363; relative_strength_1m_vs_vnindex=N/A (MISSING_DATA); breadth_ma50_pct=0.0000,"drawdown_from_52w_high=-0.3611; volatility_20d=0.0061; liquidity_trend_4w=0.1802; missing_fields=relative_strength_1m_vs_vnindex|sector_return_1w_cap_weight|sector_return_1m_cap_weight|vnindex_price_history; coverage_warning=Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",DATA_WEAK,45,vnstock_vci_quote_history
2026-07-03,DU LỊCH VÀ GIẢI TRÍ,6,Dữ liệu chưa đủ để kết luận chắc; ngành cần được theo dõi thêm.,sector_return_1w_equal_weight=0.0276; sector_return_1m_equal_weight=0.0673; relative_strength_1m_vs_vnindex=N/A (MISSING_DATA); breadth_ma50_pct=0.6667,"drawdown_from_52w_high=-0.1207; volatility_20d=0.0130; liquidity_trend_4w=0.4890; missing_fields=relative_strength_1m_vs_vnindex|sector_return_1w_cap_weight|sector_return_1m_cap_weight|vnindex_price_history; coverage_warning=Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",DATA_WEAK,45,vnstock_vci_quote_history
2026-07-03,DẦU KHÍ,8,"Tín hiệu còn pha trộn, ngành đáng theo dõi thêm.",sector_return_1w_equal_weight=0.0117; sector_return_1m_equal_weight=-0.0819; relative_strength_1m_vs_vnindex=N/A (MISSING_DATA); breadth_ma50_pct=0.1429,drawdown_from_52w_high=-0.3711; volatility_20d=0.0152; liquidity_trend_4w=-0.5646; missing_fields=relative_strength_1m_vs_vnindex|sector_return_1w_cap_weight|sector_return_1m_cap_weight|vnindex_price_history,OK,65,vnstock_vci_quote_history
2026-07-03,DỊCH VỤ TÀI CHÍNH,35,Dữ liệu chưa đủ để kết luận chắc; ngành cần được theo dõi thêm.,sector_return_1w_equal_weight=0.0501; sector_return_1m_equal_weight=0.0781; relative_strength_1m_vs_vnindex=N/A (MISSING_DATA); breadth_ma50_pct=0.7826,"drawdown_from_52w_high=-0.1979; volatility_20d=0.0122; liquidity_trend_4w=0.9334; missing_fields=relative_strength_1m_vs_vnindex|sector_return_1w_cap_weight|sector_return_1m_cap_weight|vnindex_price_history; coverage_warning=Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",DATA_WEAK,45,vnstock_vci_quote_history
2026-07-03,HÀNG & DỊCH VỤ CÔNG NGHIỆP,33,Dữ liệu chưa đủ để kết luận chắc; ngành cần được theo dõi thêm.,sector_return_1w_equal_weight=0.0037; sector_return_1m_equal_weight=0.0504; relative_strength_1m_vs_vnindex=N/A (MISSING_DATA); breadth_ma50_pct=0.2778,"drawdown_from_52w_high=-0.0658; volatility_20d=0.0057; liquidity_trend_4w=-0.0850; missing_fields=relative_strength_1m_vs_vnindex|sector_return_1w_cap_weight|sector_return_1m_cap_weight|vnindex_price_history; coverage_warning=Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",DATA_WEAK,45,vnstock_vci_quote_history
2026-07-03,HÀNG CÁ NHÂN & GIA DỤNG,12,Dữ liệu chưa đủ để kết luận chắc; ngành cần được theo dõi thêm.,sector_return_1w_equal_weight=-0.0032; sector_return_1m_equal_weight=0.1068; relative_strength_1m_vs_vnindex=N/A (MISSING_DATA); breadth_ma50_pct=0.2857,"drawdown_from_52w_high=-0.0756; volatility_20d=0.0125; liquidity_trend_4w=2.6040; missing_fields=relative_strength_1m_vs_vnindex|sector_return_1w_cap_weight|sector_return_1m_cap_weight|vnindex_price_history; coverage_warning=Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",DATA_WEAK,45,vnstock_vci_quote_history
2026-07-03,HÓA CHẤT,23,Dữ liệu chưa đủ để kết luận chắc; ngành cần được theo dõi thêm.,sector_return_1w_equal_weight=-0.0201; sector_return_1m_equal_weight=-0.0749; relative_strength_1m_vs_vnindex=N/A (MISSING_DATA); breadth_ma50_pct=0.1333,"drawdown_from_52w_high=-0.1832; volatility_20d=0.0063; liquidity_trend_4w=-0.1542; missing_fields=relative_strength_1m_vs_vnindex|sector_return_1w_cap_weight|sector_return_1m_cap_weight|vnindex_price_history; coverage_warning=Cảnh báo: tỷ lệ dữ liệu giá hợp lệ dưới 70%, tín hiệu ngành chưa đủ chắc.",DATA_WEAK,45,vnstock_vci_quote_history
