as_of,icb2,accepted_ticker_count,valid_price_count,cached_price_count,stale_price_count,valid_ma50_count,valid_ma200_count,valid_market_cap_count,missing_price_count,api_error_count,api_error_tickers,missing_indicator_count,coverage_status,coverage_warning,index_source,cap_weight_available,source
2026-07-03,BÁN LẺ,8,7,7,0,7,7,0,1,1,AGX,2,OK,OK: 7/8 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,BẢO HIỂM,5,5,5,0,5,5,0,0,0,NONE,2,WATCH,"Cảnh báo: số mã hợp lệ còn mỏng, nên đọc cùng phần dữ liệu thiếu.",VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,BẤT ĐỘNG SẢN,57,57,51,0,57,57,0,0,0,NONE,2,OK,OK: 57/57 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,CÔNG NGHỆ THÔNG TIN,6,6,5,0,6,6,0,0,0,NONE,2,OK,OK: 6/6 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,DU LỊCH VÀ GIẢI TRÍ,6,6,6,0,6,6,0,0,0,NONE,2,OK,OK: 6/6 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,DẦU KHÍ,8,8,8,0,8,8,0,0,0,NONE,2,OK,OK: 8/8 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,DỊCH VỤ TÀI CHÍNH,35,35,35,0,35,32,0,0,0,NONE,2,OK,OK: 35/35 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,HÀNG & DỊCH VỤ CÔNG NGHIỆP,33,32,30,0,32,31,0,1,1,ACV,2,OK,OK: 32/33 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,HÀNG CÁ NHÂN & GIA DỤNG,12,11,11,0,11,11,0,1,1,LBE,2,OK,OK: 11/12 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,HÓA CHẤT,23,23,20,0,23,23,0,0,0,NONE,2,OK,OK: 23/23 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,NGÂN HÀNG,23,23,21,0,23,23,0,0,0,NONE,2,OK,OK: 23/23 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,THỰC PHẨM VÀ ĐỒ UỐNG,37,37,32,0,37,37,0,0,0,NONE,2,OK,OK: 37/37 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,TRUYỀN THÔNG,6,6,5,0,6,6,0,0,0,NONE,2,OK,OK: 6/6 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,TÀI NGUYÊN CƠ BẢN,23,23,20,0,23,23,0,0,0,NONE,2,OK,OK: 23/23 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,VIỄN THÔNG,2,2,2,0,2,2,0,0,0,NONE,2,LOW_COVERAGE,"Cảnh báo: ngành này có ít mã hợp lệ, chỉ báo có thể bị méo bởi một vài cổ phiếu lớn.",VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,XÂY DỰNG VÀ VẬT LIỆU,59,57,54,0,57,57,0,2,2,LHC|MBG,2,OK,OK: 57/59 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,Y TẾ,12,11,9,0,11,11,0,1,1,LDP,2,OK,OK: 11/12 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,Ô TÔ VÀ PHỤ TÙNG,7,7,6,0,7,7,0,0,0,NONE,2,OK,OK: 7/7 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
2026-07-03,"ĐIỆN, NƯỚC & XĂNG DẦU KHÍ ĐỐT",16,16,15,0,16,16,0,0,0,NONE,2,OK,OK: 16/16 mã có dữ liệu giá hợp lệ.,VNINDEX,no,vnstock_vci_quote_history+vnstock
