sector,ticker_count,valid_price_count,data_quality_status,coverage_status,relative_strength_1m_vs_vnindex,sector_return_1w_equal_weight,sector_return_1m_equal_weight,price_trend_signal,relative_strength_signal,momentum_signal,breadth_signal,liquidity_signal,data_confidence_signal,candidate_cycle_stage,cycle_signal_confidence,evidence_summary,warning_flags
BÁN LẺ,8,8,OK,OK,-0.02596745859276621,-0.029969792254962324,-0.009298516985930469,DOWN,UNDERPERFORMING,NEGATIVE,MIXED,STABLE_TO_DOWN,HIGH,LAGGING,HIGH,1w=-0.0300; 1m=-0.0093; relative_1m=-0.0260; breadth_ma50=0.3750; liquidity_4w=-0.0505; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,CAP_WEIGHT_SKIPPED|MISSING_FIELDS=sector_return_1w_cap_weight|sector_return_1m_cap_weight|NEGATIVE_RELATIVE_STRENGTH|LOW_BREADTH
BẢO HIỂM,5,5,WATCH,WATCH,-0.06615082904704903,-0.005891729794584877,-0.04948188744021329,STRONG_DOWN,UNDERPERFORMING,NEGATIVE,WEAK,CONTRACTING,MEDIUM,LAGGING,MEDIUM,1w=-0.0059; 1m=-0.0495; relative_1m=-0.0662; breadth_ma50=0.0000; liquidity_4w=-0.4203; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,WATCH|CAP_WEIGHT_SKIPPED|MISSING_FIELDS=sector_return_1w_cap_weight|sector_return_1m_cap_weight|NEGATIVE_RELATIVE_STRENGTH|LOW_BREADTH
BẤT ĐỘNG SẢN,57,57,OK,OK,-0.04164568507353368,-0.007974645189135932,-0.024976743466697936,DOWN,UNDERPERFORMING,NEGATIVE,WEAK,STABLE_TO_DOWN,HIGH,LAGGING,HIGH,1w=-0.0080; 1m=-0.0250; relative_1m=-0.0416; breadth_ma50=0.2105; liquidity_4w=-0.0672; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,CAP_WEIGHT_SKIPPED|MISSING_FIELDS=sector_return_1w_cap_weight|sector_return_1m_cap_weight|NEGATIVE_RELATIVE_STRENGTH|LOW_BREADTH
CÔNG NGHỆ THÔNG TIN,6,6,OK,OK,-0.037091588558229235,0.010892723993479422,-0.02042264695139349,DOWN,UNDERPERFORMING,RECOVERING,WEAK,CONTRACTING,HIGH,LAGGING,HIGH,1w=0.0109; 1m=-0.0204; relative_1m=-0.0371; breadth_ma50=0.1667; liquidity_4w=-0.1540; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,CAP_WEIGHT_SKIPPED|MISSING_FIELDS=sector_return_1w_cap_weight|sector_return_1m_cap_weight|NEGATIVE_RELATIVE_STRENGTH|LOW_BREADTH
DU LỊCH VÀ GIẢI TRÍ,6,6,OK,OK,0.017293730556095656,0.01358984585667622,0.0339626721629314,STRONG_UP,SLIGHTLY_OUTPERFORMING,POSITIVE,POSITIVE,EXPANDING,HIGH,LEADERSHIP,HIGH,1w=0.0136; 1m=0.0340; relative_1m=0.0173; breadth_ma50=0.5000; liquidity_4w=0.7497; summary=Tín hiệu cải thiện khi lợi suất 1 tháng vượt VN-Index và breadth MA50 khá.,CAP_WEIGHT_SKIPPED|MISSING_FIELDS=sector_return_1w_cap_weight|sector_return_1m_cap_weight
DẦU KHÍ,8,8,OK,OK,-0.08885978371758944,0.01097665124205717,-0.0721908421107537,STRONG_DOWN,UNDERPERFORMING,RECOVERING,WEAK,CONTRACTING,HIGH,LAGGING,HIGH,1w=0.0110; 1m=-0.0722; relative_1m=-0.0889; breadth_ma50=0.1250; liquidity_4w=-0.5718; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,CAP_WEIGHT_SKIPPED|MISSING_FIELDS=sector_return_1w_cap_weight|sector_return_1m_cap_weight|NEGATIVE_RELATIVE_STRENGTH|LOW_BREADTH
DỊCH VỤ TÀI CHÍNH,35,35,OK,OK,0.0637044260700497,0.05116789340455552,0.08037336767688544,STRONG_UP,OUTPERFORMING,POSITIVE,BROAD_POSITIVE,EXPANDING,HIGH,LEADERSHIP,HIGH,1w=0.0512; 1m=0.0804; relative_1m=0.0637; breadth_ma50=0.7714; liquidity_4w=1.0585; summary=Tín hiệu cải thiện khi lợi suất 1 tháng vượt VN-Index và breadth MA50 khá.,CAP_WEIGHT_SKIPPED|MISSING_FIELDS=sector_return_1w_cap_weight|sector_return_1m_cap_weight
HÀNG & DỊCH VỤ CÔNG NGHIỆP,33,33,OK,OK,0.007757657051865718,-0.007632990413306276,0.02442659865870146,UP,SLIGHTLY_OUTPERFORMING,COOLING,MIXED,EXPANDING,HIGH,IMPROVING,HIGH,"1w=-0.0076; 1m=0.0244; relative_1m=0.0078; breadth_ma50=0.3636; liquidity_4w=1.2458; summary=Tín hiệu còn pha trộn, ngành đáng theo dõi thêm.",CAP_WEIGHT_SKIPPED|MISSING_FIELDS=sector_return_1w_cap_weight|sector_return_1m_cap_weight|LOW_BREADTH
HÀNG CÁ NHÂN & GIA DỤNG,12,12,OK,OK,0.025226779870119537,-0.008483267232319883,0.04189572147695528,STRONG_UP,OUTPERFORMING,COOLING,WEAK,EXPANDING,HIGH,IMPROVING,HIGH,"1w=-0.0085; 1m=0.0419; relative_1m=0.0252; breadth_ma50=0.2500; liquidity_4w=1.5514; summary=Tín hiệu còn pha trộn, ngành đáng theo dõi thêm.",CAP_WEIGHT_SKIPPED|MISSING_FIELDS=sector_return_1w_cap_weight|sector_return_1m_cap_weight|LOW_BREADTH
HÓA CHẤT,23,23,OK,OK,-0.06396633610208718,0.007344032998588352,-0.04729739449525145,STRONG_DOWN,UNDERPERFORMING,RECOVERING,WEAK,STABLE_TO_UP,HIGH,LAGGING,HIGH,1w=0.0073; 1m=-0.0473; relative_1m=-0.0640; breadth_ma50=0.1739; liquidity_4w=0.0202; summary=Tín hiệu suy yếu khi lợi suất 1 tháng kém hơn VN-Index.,CAP_WEIGHT_SKIPPED|MISSING_FIELDS=sector_return_1w_cap_weight|sector_return_1m_cap_weight|NEGATIVE_RELATIVE_STRENGTH|LOW_BREADTH
